날짜,판매량,프로모션진행개수,연도,월,일,요일,휴일종류_레이블
2013-01-01,0.0,0,2013,1,1,1,3
2013-01-02,778.7,0,2013,1,2,2,6
2013-01-03,384.74,0,2013,1,3,3,6
2013-01-04,387.55,0,2013,1,4,4,6
2013-01-05,564.3,0,2013,1,5,5,5
2013-01-06,688.75,0,2013,1,6,6,6
2013-01-07,328.65,0,2013,1,7,0,6
2013-01-08,374.66,0,2013,1,8,1,6
2013-01-09,347.76,0,2013,1,9,2,6
2013-01-10,216.32,0,2013,1,10,3,6
2013-01-11,333.6,0,2013,1,11,4,6
2013-01-12,478.05,0,2013,1,12,5,5
2013-01-13,582.42,0,2013,1,13,6,6
2013-01-14,389.28,0,2013,1,14,0,6
2013-01-15,314.21,0,2013,1,15,1,6
2013-01-16,396.46,0,2013,1,16,2,6
2013-01-17,270.03,0,2013,1,17,3,6
2013-01-18,309.91,0,2013,1,18,4,6
2013-01-19,460.46,0,2013,1,19,5,6
2013-01-20,555.49,0,2013,1,20,6,6
2013-01-21,333.64,0,2013,1,21,0,6
2013-01-22,250.45,0,2013,1,22,1,6
2013-01-23,295.86,0,2013,1,23,2,6
2013-01-24,180.37,0,2013,1,24,3,6
2013-01-25,317.51,0,2013,1,25,4,6
2013-01-26,459.11,0,2013,1,26,5,6
2013-01-27,559.12,0,2013,1,27,6,6
2013-01-28,311.45,0,2013,1,28,0,6
2013-01-29,284.18,0,2013,1,29,1,6
2013-01-30,349.94,0,2013,1,30,2,6
2013-01-31,257.98,0,2013,1,31,3,6
2013-02-01,311.52,0,2013,2,1,4,6
2013-02-02,598.39,0,2013,2,2,5,6
2013-02-03,610.36,0,2013,2,3,6,6
2013-02-04,310.0,0,2013,2,4,0,6
2013-02-05,312.06,0,2013,2,5,1,6
2013-02-06,368.84,0,2013,2,6,2,6
2013-02-07,252.31,0,2013,2,7,3,6
2013-02-08,309.87,0,2013,2,8,4,6
2013-02-09,334.21,0,2013,2,9,5,6
2013-02-10,251.14,0,2013,2,10,6,6
2013-02-11,285.53,0,2013,2,11,0,3
2013-02-12,421.34,0,2013,2,12,1,3
2013-02-13,282.0,0,2013,2,13,2,6
2013-02-14,272.22,0,2013,2,14,3,6
2013-02-15,278.6,0,2013,2,15,4,6
2013-02-16,574.19,0,2013,2,16,5,6
2013-02-17,499.44,0,2013,2,17,6,6
2013-02-18,340.59,0,2013,2,18,0,6
2013-02-19,280.0,0,2013,2,19,1,6
2013-02-20,334.24,0,2013,2,20,2,6
2013-02-21,177.0,0,2013,2,21,3,6
2013-02-22,209.64,0,2013,2,22,4,6
2013-02-23,449.3,0,2013,2,23,5,6
2013-02-24,559.58,0,2013,2,24,6,6
2013-02-25,272.67,0,2013,2,25,0,6
2013-02-26,260.0,0,2013,2,26,1,6
2013-02-27,296.51,0,2013,2,27,2,6
2013-02-28,175.0,0,2013,2,28,3,6
2013-03-01,463.62,0,2013,3,1,4,6
2013-03-02,564.46,0,2013,3,2,5,3
2013-03-03,680.7,0,2013,3,3,6,6
2013-03-04,351.63,0,2013,3,4,0,6
2013-03-05,229.63,0,2013,3,5,1,6
2013-03-06,414.99,0,2013,3,6,2,6
2013-03-07,218.19,0,2013,3,7,3,6
2013-03-08,265.44,0,2013,3,8,4,6
2013-03-09,490.9,0,2013,3,9,5,6
2013-03-10,482.82,0,2013,3,10,6,6
